reference,city,state,country
609,Puerto López,Meta,Colombia
610,Puerto Lleras,Meta,Colombia
611,Puerto Rico,Meta,Colombia
612,Restrepo,Meta,Colombia
613,San Juanito,Meta,Colombia
614,San Martín,Meta,Colombia
615,Vista Hermosa,Meta,Colombia
616,Pasto,Nariño,Colombia
617,Albán,Nariño,Colombia
618,Aldana,Nariño,Colombia
619,Ancuyá,Nariño,Colombia
620,Barbacoas,Nariño,Colombia
621,Colón,Nariño,Colombia
622,Consaca,Nariño,Colombia
623,Contadero,Nariño,Colombia
624,Córdoba,Nariño,Colombia
625,Cuaspud,Nariño,Colombia
626,Cumbal,Nariño,Colombia
627,Cumbitara,Nariño,Colombia
628,El Charco,Nariño,Colombia
629,El Peñol,Nariño,Colombia
630,El Rosario,Nariño,Colombia
631,El Tambo,Nariño,Colombia
632,Funes,Nariño,Colombia
633,Guachucal,Nariño,Colombia
634,Guaitarilla,Nariño,Colombia
635,Gualmatán,Nariño,Colombia
636,Iles,Nariño,Colombia
637,Imués,Nariño,Colombia
638,Ipiales,Nariño,Colombia
639,La Cruz,Nariño,Colombia
640,La Florida,Nariño,Colombia
641,La Llanada,Nariño,Colombia
642,La Tola,Nariño,Colombia
643,La Unión,Nariño,Colombia
644,Leiva,Nariño,Colombia
645,Linares,Nariño,Colombia
646,Los Andes,Nariño,Colombia
647,Magüí,Nariño,Colombia
648,Mallama,Nariño,Colombia
649,Mosquera,Nariño,Colombia
650,Nariño,Nariño,Colombia
651,Olaya Herrera,Nariño,Colombia
652,Ospina,Nariño,Colombia
653,Francisco Pizarro,Nariño,Colombia
654,Policarpa,Nariño,Colombia
655,Potosí,Nariño,Colombia
656,Providencia,Nariño,Colombia
657,Puerres,Nariño,Colombia
658,Pupiales,Nariño,Colombia
659,Ricaurte,Nariño,Colombia
660,Roberto Payán,Nariño,Colombia
661,Samaniego,Nariño,Colombia
662,Sandoná,Nariño,Colombia
663,San Bernardo,Nariño,Colombia
664,San Lorenzo,Nariño,Colombia
665,San Pablo,Nariño,Colombia
666,Santa Bárbara,Nariño,Colombia
667,Sapuyes,Nariño,Colombia
668,Taminango,Nariño,Colombia
669,Tangua,Nariño,Colombia
670,Túquerres,Nariño,Colombia
671,Yacuanquer,Nariño,Colombia
672,Armenia,Quindío,Colombia
673,Buenavista,Quindío,Colombia
674,Circasia,Quindío,Colombia
675,Córdoba,Quindío,Colombia
676,Filandia,Quindío,Colombia
677,La Tebaida,Quindío,Colombia
678,Montenegro,Quindío,Colombia
679,Pijao,Quindío,Colombia
680,Quimbaya,Quindío,Colombia
681,Salento,Quindío,Colombia
682,Pereira,Risaralda,Colombia
683,Apía,Risaralda,Colombia
684,Balboa,Risaralda,Colombia
685,Dosquebradas,Risaralda,Colombia
686,Guática,Risaralda,Colombia
687,La Celia,Risaralda,Colombia
688,La Virginia,Risaralda,Colombia
689,Marsella,Risaralda,Colombia
690,Mistrató,Risaralda,Colombia
691,Pueblo Rico,Risaralda,Colombia
692,Quinchía,Risaralda,Colombia
693,Santuario,Risaralda,Colombia
694,Bucaramanga,Santander,Colombia
695,Aguada,Santander,Colombia
696,Albania,Santander,Colombia
697,Aratoca,Santander,Colombia
698,Barbosa,Santander,Colombia
699,Barichara,Santander,Colombia
700,Barrancabermeja,Santander,Colombia
701,Betulia,Santander,Colombia
702,Bolívar,Santander,Colombia
703,Cabrera,Santander,Colombia
704,California,Santander,Colombia
705,Carcasí,Santander,Colombia
706,Cepitá,Santander,Colombia
707,Cerrito,Santander,Colombia
708,Charalá,Santander,Colombia
709,Charta,Santander,Colombia
710,Chipatá,Santander,Colombia
711,Cimitarra,Santander,Colombia
712,Concepción,Santander,Colombia
713,Confines,Santander,Colombia
714,Contratación,Santander,Colombia
715,Coromoro,Santander,Colombia
716,Curití,Santander,Colombia
717,El Guacamayo,Santander,Colombia
718,El Playón,Santander,Colombia
719,Encino,Santander,Colombia
720,Enciso,Santander,Colombia
721,Florián,Santander,Colombia
722,Floridablanca,Santander,Colombia
723,Galán,Santander,Colombia
724,Gambita,Santander,Colombia
725,Girón,Santander,Colombia
726,Guaca,Santander,Colombia
727,Guadalupe,Santander,Colombia
728,Guapotá,Santander,Colombia
729,Guavatá,Santander,Colombia
730,Güepsa,Santander,Colombia
731,Jesús María,Santander,Colombia
732,Jordán,Santander,Colombia
733,La Belleza,Santander,Colombia
734,Landázuri,Santander,Colombia
735,La Paz,Santander,Colombia
736,Lebríja,Santander,Colombia
737,Los Santos,Santander,Colombia
738,Macaravita,Santander,Colombia
739,Málaga,Santander,Colombia
740,Matanza,Santander,Colombia
741,Mogotes,Santander,Colombia
742,Molagavita,Santander,Colombia
743,Ocamonte,Santander,Colombia
744,Oiba,Santander,Colombia
745,Onzaga,Santander,Colombia
746,Palmar,Santander,Colombia
747,Páramo,Santander,Colombia
748,Piedecuesta,Santander,Colombia
749,Pinchote,Santander,Colombia
750,Puente Nacional,Santander,Colombia
751,Rionegro,Santander,Colombia
752,San Andrés,Santander,Colombia
